cliente_id,visitas_ultimos_7_dias,visitas_ultimos_30_dias,visitas_ultimos_90_dias,dias_desde_ultima_visita,tendencia_asistencia,clases_reservadas_mes,clases_canceladas_mes,clases_asistidas_mes,entrenamientos_personales_mes,uso_piscina_mes,uso_spa_mes
47,2,8,19,2,Decreciente,10,0,10,1,2,0
48,1,5,23,17,Decreciente,6,1,5,0,0,0
49,1,12,14,29,Estable,5,2,3,0,0,0
50,2,13,35,2,Creciente,10,0,10,2,5,1
51,2,7,13,52,Creciente,9,0,9,0,1,0
52,0,0,15,17,Estable,3,1,2,0,3,0
53,3,10,34,17,Estable,8,0,8,1,2,2
54,3,10,40,15,Estable,4,0,4,0,3,1
55,2,8,15,28,Estable,6,3,3,2,1,0
56,0,8,28,21,Decreciente,9,1,8,0,2,0
57,3,12,27,8,Creciente,10,2,8,0,1,2
58,4,16,54,41,Creciente,18,5,13,1,1,0
59,2,3,28,15,Estable,0,0,0,0,3,0
60,2,13,27,45,Decreciente,9,3,6,1,0,0
61,4,13,34,0,Creciente,16,0,16,0,2,0
62,0,5,9,23,Estable,3,0,3,0,0,0
63,1,1,1,37,Creciente,0,0,0,0,4,1
64,2,8,23,13,Decreciente,8,0,8,1,2,0
65,5,13,46,14,Decreciente,11,0,11,0,3,3
66,3,9,30,18,Estable,8,0,8,1,1,0
67,5,10,38,13,Decreciente,5,1,4,0,0,0
68,1,2,14,38,Decreciente,3,3,0,0,1,0
69,2,13,21,30,Creciente,21,4,17,0,0,1
70,1,9,34,6,Decreciente,12,0,12,1,1,0
71,1,8,22,24,Decreciente,6,0,6,0,0,0
72,3,15,41,32,Creciente,16,0,16,0,1,0
73,2,4,23,29,Creciente,7,0,7,2,1,0
74,3,10,33,20,Creciente,6,2,4,1,2,1
75,1,9,29,6,Creciente,14,4,10,0,1,0
76,2,2,13,7,Decreciente,5,3,2,1,2,0
77,1,8,31,27,Estable,4,0,4,1,0,0
78,3,7,20,34,Decreciente,6,4,2,0,1,0
79,3,8,30,10,Decreciente,6,0,6,1,0,0
80,3,5,33,8,Estable,3,3,0,0,0,0
81,2,7,34,0,Estable,7,2,5,1,1,0
82,2,6,18,9,Creciente,8,2,6,1,1,1
83,0,4,10,24,Estable,0,0,0,0,1,0
84,2,21,63,0,Estable,15,0,15,1,4,0
85,2,6,19,0,Creciente,3,0,3,1,2,1
86,2,13,43,18,Creciente,3,0,3,0,4,0
87,1,4,12,15,Decreciente,3,1,2,0,0,0
88,1,8,33,9,Decreciente,4,0,4,0,3,1
89,0,11,11,29,Estable,13,3,10,0,3,0
90,2,6,31,0,Decreciente,4,0,4,1,0,0
91,2,10,19,36,Decreciente,9,0,9,1,3,0
92,1,5,8,22,Creciente,4,0,4,0,0,0
93,0,4,35,26,Creciente,4,0,4,0,1,1
94,3,17,38,17,Decreciente,13,2,11,1,7,1
95,0,11,27,32,Estable,10,1,9,0,2,1
96,3,4,20,21,Creciente,0,0,0,0,2,1
97,0,4,4,38,Estable,8,0,8,0,1,0
98,2,9,22,5,Decreciente,8,0,8,1,5,0
99,1,3,17,10,Creciente,0,0,0,1,0,0
100,3,10,29,1,Creciente,13,1,12,1,1,1
101,2,14,26,5,Creciente,12,0,12,0,3,0
102,1,5,18,36,Decreciente,0,0,0,1,0,1
103,3,22,51,6,Creciente,22,3,19,0,3,0
104,1,13,47,16,Estable,9,2,7,0,1,1
105,1,6,26,24,Decreciente,5,2,3,0,3,0
106,1,4,14,14,Creciente,0,0,0,0,1,1
107,0,1,32,12,Decreciente,3,0,3,1,0,1
108,1,15,36,20,Decreciente,12,1,11,1,1,2
109,2,9,29,5,Decreciente,8,0,8,2,1,1
110,2,9,16,7,Creciente,5,3,2,3,3,0
111,3,7,25,20,Estable,1,0,1,1,2,0
112,0,8,14,26,Decreciente,10,6,4,1,1,0
113,4,10,25,0,Decreciente,8,2,6,1,1,0
114,0,6,22,23,Estable,4,1,3,0,0,0
115,2,8,16,31,Decreciente,10,2,8,2,0,1
116,0,3,3,39,Estable,7,0,7,0,1,1
117,1,11,26,17,Creciente,8,0,8,0,0,1
118,1,8,48,22,Estable,10,2,8,0,2,0
119,0,2,11,23,Decreciente,3,0,3,1,2,0
120,3,6,37,23,Estable,8,1,7,0,0,2
121,4,12,40,23,Estable,10,0,10,3,0,3
122,2,12,48,29,Decreciente,9,0,9,0,1,2
123,3,13,42,0,Estable,10,3,7,0,0,0
124,2,5,23,9,Estable,5,1,4,2,0,0
125,0,3,3,25,Estable,1,0,1,1,2,0
126,0,1,22,38,Estable,2,2,0,0,1,0
127,3,3,26,12,Estable,0,0,0,2,0,0
128,1,11,13,14,Decreciente,5,0,5,1,1,3
129,3,20,28,24,Estable,19,3,16,0,2,0
130,1,9,28,31,Decreciente,3,1,2,0,0,0
131,3,11,25,8,Creciente,5,0,5,1,2,1
132,4,12,39,6,Creciente,7,0,7,1,0,1
133,1,7,25,29,Decreciente,10,1,9,0,0,1
134,3,9,24,21,Creciente,10,0,10,0,0,0
135,1,6,6,10,Creciente,4,1,3,2,3,0
136,2,13,51,11,Estable,13,0,13,1,3,3
137,0,6,7,10,Creciente,7,1,6,0,1,0
138,3,13,40,16,Creciente,13,3,10,1,2,0
139,1,1,19,15,Estable,2,0,2,0,0,0
140,2,8,8,27,Decreciente,7,2,5,0,3,0
141,2,9,25,14,Decreciente,2,1,1,0,0,1
142,3,14,37,12,Decreciente,6,0,6,0,1,0
143,1,5,7,9,Estable,0,0,0,0,6,3
144,4,16,52,19,Decreciente,12,0,12,0,0,1
145,0,7,13,12,Decreciente,7,2,5,0,0,0
146,4,24,46,28,Creciente,18,3,15,0,0,0
147,2,8,38,0,Creciente,7,0,7,0,0,3
148,2,13,35,13,Estable,13,2,11,1,0,1
149,3,16,50,11,Estable,6,3,3,0,0,2
150,0,0,7,23,Decreciente,2,1,1,1,3,1
151,0,8,12,24,Decreciente,2,0,2,0,0,0
152,1,1,2,4,Estable,0,0,0,1,3,1
153,3,17,40,17,Decreciente,14,0,14,0,3,1
154,3,8,18,11,Estable,10,0,10,1,0,3
155,5,11,46,0,Creciente,11,1,10,1,3,2
156,3,8,33,50,Decreciente,5,4,1,1,1,1
157,5,15,47,0,Creciente,12,1,11,0,0,0
158,0,8,17,21,Decreciente,5,1,4,0,0,2
159,0,3,14,21,Decreciente,6,3,3,0,4,0
160,1,10,21,19,Decreciente,7,2,5,1,1,0
161,0,4,15,29,Decreciente,3,0,3,0,0,0
162,2,2,12,22,Estable,4,0,4,2,0,2
163,1,14,21,22,Estable,13,2,11,1,3,1
164,0,7,13,27,Estable,7,0,7,0,2,0
165,2,2,11,42,Decreciente,0,1,0,2,0,0
166,1,7,30,14,Decreciente,10,0,10,1,3,1
167,2,8,26,0,Decreciente,4,2,2,0,1,1
168,1,1,20,27,Estable,0,0,0,0,0,1
169,1,6,7,0,Estable,4,0,4,0,3,2
170,1,14,28,12,Decreciente,9,2,7,2,3,0
171,4,13,35,30,Estable,13,1,12,1,4,1
172,3,7,29,12,Estable,10,1,9,1,0,0
173,1,1,18,35,Decreciente,2,1,1,0,1,0
174,1,8,27,15,Decreciente,4,0,4,0,0,0
175,1,7,13,22,Estable,1,0,1,1,1,0
176,3,15,32,0,Decreciente,12,1,11,0,0,2
177,3,11,31,13,Creciente,10,0,10,2,4,1
178,4,15,47,28,Decreciente,10,1,9,0,0,1
179,3,15,35,22,Creciente,9,0,9,0,2,3
180,0,7,18,17,Creciente,7,2,5,1,0,1
181,0,1,2,35,Decreciente,1,0,1,0,0,1
182,4,11,32,0,Creciente,6,0,6,0,2,0
183,1,9,16,7,Decreciente,2,0,2,0,0,0
184,1,1,9,7,Decreciente,0,2,0,0,4,0
185,2,7,19,2,Decreciente,3,3,0,2,0,1
186,2,9,35,2,Decreciente,5,0,5,1,1,2
187,3,9,24,9,Estable,5,0,5,2,1,2
188,3,12,52,9,Decreciente,9,2,7,0,3,0
189,1,12,28,30,Creciente,10,3,7,2,1,0
190,2,13,42,44,Estable,13,7,6,0,2,0
191,1,7,18,6,Decreciente,8,1,7,0,2,0
192,2,10,27,1,Estable,7,0,7,0,0,1
193,4,16,49,10,Estable,15,1,14,0,5,2
194,1,3,29,39,Decreciente,0,2,0,1,0,1
195,3,10,31,3,Estable,11,0,11,1,0,0
196,2,11,41,13,Decreciente,5,4,1,0,0,2
197,0,0,4,21,Creciente,1,0,1,0,0,0
198,1,9,28,9,Estable,7,0,7,0,1,0
199,1,9,35,15,Decreciente,4,0,4,0,0,2
200,2,10,47,17,Estable,8,1,7,1,3,0
201,3,13,29,20,Creciente,6,2,4,0,2,0
202,1,10,14,38,Decreciente,9,2,7,0,4,0
203,4,15,58,13,Creciente,13,0,13,3,1,0
204,3,12,32,12,Creciente,6,1,5,0,3,1
205,3,15,43,2,Decreciente,6,0,6,0,0,0
206,0,8,34,20,Estable,8,0,8,0,0,3
207,2,7,14,20,Decreciente,1,0,1,0,4,2
208,1,2,21,35,Decreciente,5,0,5,0,0,0
209,0,9,20,16,Decreciente,5,1,4,0,4,1
210,1,3,3,21,Creciente,2,0,2,1,3,1
211,1,7,19,25,Estable,10,0,10,1,2,0
212,1,3,12,9,Creciente,4,2,2,0,3,0
213,0,15,32,14,Decreciente,14,0,14,1,1,1
214,0,4,18,11,Creciente,2,0,2,0,0,2
215,3,13,39,37,Estable,13,0,13,2,1,0
216,0,0,3,17,Estable,3,0,3,0,3,0
217,2,14,24,8,Creciente,7,0,7,0,0,0
218,3,6,9,28,Creciente,9,0,9,0,0,0
219,4,11,32,11,Estable,14,0,14,0,0,1
220,0,4,4,36,Creciente,1,1,0,1,0,0
221,2,10,18,6,Creciente,7,0,7,0,0,0
222,0,2,20,38,Estable,0,0,0,0,1,0
223,0,2,9,42,Decreciente,0,0,0,0,2,0
224,3,16,41,10,Estable,11,0,11,2,1,0
225,2,7,22,10,Estable,11,0,11,2,0,0
226,0,5,18,9,Decreciente,1,4,0,1,0,0
227,2,9,37,19,Estable,8,3,5,2,1,0
228,2,10,38,18,Decreciente,10,0,10,0,2,0
229,2,6,36,7,Creciente,4,0,4,1,1,0
230,3,12,39,31,Decreciente,7,0,7,0,0,0
231,2,3,14,29,Decreciente,5,2,3,1,0,2
232,1,6,33,36,Decreciente,8,3,5,1,2,0
233,1,4,11,32,Creciente,2,0,2,0,1,0
234,0,0,14,15,Estable,0,0,0,0,2,0
235,5,11,30,0,Decreciente,5,4,1,0,1,1
236,4,20,59,5,Creciente,15,0,15,0,1,0
237,0,13,39,17,Decreciente,10,0,10,0,0,0
238,1,12,27,31,Decreciente,8,0,8,1,1,1
239,2,5,29,27,Decreciente,3,0,3,0,0,1
240,3,3,36,14,Creciente,4,1,3,0,2,0
241,0,6,15,21,Decreciente,3,3,0,0,2,0
242,2,6,28,25,Decreciente,7,0,7,0,0,0
243,2,9,14,28,Decreciente,7,0,7,1,0,1
244,0,15,27,18,Creciente,11,2,9,0,2,2
245,1,6,6,13,Creciente,8,0,8,1,3,0
246,2,3,30,24,Estable,4,0,4,0,0,0
247,4,17,37,12,Creciente,10,1,9,1,0,1
248,0,2,2,38,Decreciente,2,0,2,0,0,0
249,2,8,29,30,Decreciente,14,0,14,1,3,0
250,1,5,16,23,Estable,4,0,4,0,0,2
251,0,8,36,25,Decreciente,7,1,6,2,0,0
252,0,0,0,34,Creciente,0,0,0,0,2,1
253,1,2,29,28,Creciente,0,1,0,0,0,1
254,0,10,10,15,Creciente,4,0,4,1,0,2
255,1,7,26,37,Estable,7,0,7,0,0,0
256,1,6,29,14,Decreciente,1,1,0,0,2,0
257,3,5,31,2,Creciente,7,0,7,0,2,2
258,2,8,24,24,Decreciente,9,0,9,0,1,1
259,0,4,7,25,Estable,3,0,3,0,0,0
260,3,11,23,12,Decreciente,8,3,5,0,1,0
261,0,2,2,10,Creciente,4,0,4,0,1,0
262,0,5,16,27,Estable,1,0,1,0,0,1
263,1,10,31,42,Creciente,7,2,5,0,0,1
264,0,6,17,11,Estable,5,3,2,0,0,0
265,1,9,30,11,Estable,6,0,6,0,4,1
266,1,6,22,12,Decreciente,5,0,5,1,2,1
267,3,11,37,22,Estable,5,0,5,0,4,0
268,1,7,12,48,Decreciente,5,3,2,1,0,0
269,0,3,3,3,Estable,0,0,0,0,2,0
270,1,6,34,1,Creciente,7,1,6,0,0,0
271,1,5,25,12,Estable,3,0,3,0,0,0
272,0,3,24,0,Decreciente,0,0,0,0,3,1
273,3,4,17,26,Decreciente,4,0,4,0,2,0
274,1,5,9,10,Decreciente,5,1,4,0,0,0
275,2,8,28,14,Decreciente,3,2,1,1,1,1
276,2,3,14,13,Creciente,0,0,0,2,0,1
277,4,12,44,23,Estable,7,2,5,0,0,0
278,0,7,22,42,Creciente,8,1,7,0,1,2
279,1,3,11,12,Estable,0,0,0,1,3,0
280,2,10,16,2,Creciente,2,0,2,1,3,0
281,3,20,39,0,Estable,13,0,13,1,1,0
282,3,7,22,0,Decreciente,2,1,1,0,3,0
283,3,3,17,21,Decreciente,2,0,2,0,2,1
284,2,15,42,11,Decreciente,12,2,10,0,3,0
285,2,19,26,13,Decreciente,11,1,10,1,1,1
286,0,6,22,12,Creciente,8,1,7,0,3,0
287,2,17,59,17,Creciente,14,2,12,0,4,0
288,2,11,32,0,Decreciente,4,1,3,0,3,0
289,3,14,48,23,Estable,9,1,8,0,0,2
290,1,10,36,0,Creciente,10,0,10,0,3,1
291,0,0,21,31,Estable,3,1,2,0,0,1
292,0,10,22,12,Creciente,8,0,8,0,0,0
293,0,0,6,13,Estable,0,1,0,0,3,0
294,2,4,27,1,Estable,2,0,2,0,0,1
295,2,10,36,2,Estable,11,0,11,2,2,1
296,3,4,38,28,Decreciente,7,0,7,1,0,0
297,0,7,26,25,Estable,5,0,5,0,2,1
298,4,15,41,0,Creciente,14,0,14,0,0,0
299,4,13,32,39,Creciente,10,4,6,1,0,0
300,2,9,29,20,Estable,0,1,0,0,0,1
301,2,15,31,7,Decreciente,13,1,12,2,3,0
302,2,14,39,10,Decreciente,9,0,9,0,4,1
303,2,2,8,29,Decreciente,0,0,0,0,0,0
304,0,10,30,8,Creciente,9,2,7,0,0,0
305,1,10,17,23,Decreciente,4,2,2,0,0,0
306,0,6,11,27,Decreciente,0,0,0,1,2,1
307,0,9,15,9,Estable,3,0,3,0,0,0
308,5,7,37,31,Estable,7,0,7,0,0,1
309,0,0,4,26,Estable,0,0,0,0,2,2
310,3,15,32,4,Estable,9,0,9,2,6,0
311,2,3,32,31,Decreciente,0,0,0,0,2,0
312,2,7,21,9,Creciente,5,0,5,1,1,0
313,0,3,17,38,Decreciente,1,0,1,0,2,0
314,4,16,45,5,Creciente,14,3,11,0,5,0
315,0,0,15,15,Creciente,0,1,0,0,0,0
316,3,10,34,21,Decreciente,7,1,6,0,0,0
317,3,4,30,33,Decreciente,1,2,0,0,0,0
318,1,3,16,19,Creciente,0,1,0,0,0,0
319,2,18,39,5,Estable,10,0,10,3,0,0
320,2,4,22,22,Creciente,0,1,0,0,4,1
321,2,2,30,8,Decreciente,3,0,3,1,0,0
322,0,2,3,0,Decreciente,3,1,2,1,2,1
323,3,16,16,26,Decreciente,9,4,5,0,2,1
324,3,11,40,22,Decreciente,8,1,7,2,2,1
325,3,3,28,9,Estable,4,0,4,1,3,0
326,0,9,9,31,Decreciente,12,5,7,0,3,0
327,1,12,28,0,Creciente,9,0,9,1,5,0
328,2,6,37,19,Decreciente,6,1,5,2,1,1
329,1,1,2,32,Decreciente,3,3,0,0,2,0
330,4,12,37,16,Estable,10,0,10,1,2,0
331,2,3,31,13,Estable,4,0,4,1,3,1
332,0,2,7,20,Estable,0,0,0,1,1,0
333,1,5,27,19,Creciente,7,1,6,0,1,1
334,3,11,41,11,Decreciente,3,1,2,1,0,1
335,0,5,5,31,Estable,0,1,0,0,1,0
336,2,8,28,32,Estable,7,3,4,0,0,1
337,2,5,32,11,Estable,4,0,4,0,3,1
338,1,4,5,20,Decreciente,2,0,2,0,0,1
339,1,7,25,13,Creciente,5,2,3,1,1,0
340,0,0,7,38,Decreciente,2,3,0,1,1,0
341,2,15,41,15,Decreciente,14,4,10,3,0,0
342,1,9,23,19,Decreciente,9,7,2,1,0,0
343,0,1,11,40,Estable,0,0,0,0,3,0
344,1,1,23,18,Creciente,0,0,0,1,0,0
345,2,9,28,19,Estable,5,0,5,0,2,0
346,0,8,8,16,Estable,4,0,4,0,3,0
347,2,6,20,31,Creciente,9,0,9,0,3,0
348,0,12,31,9,Decreciente,5,1,4,1,1,0
349,2,10,27,26,Estable,4,2,2,0,1,1
350,1,7,13,3,Decreciente,0,0,0,0,0,0
351,2,2,8,29,Creciente,2,2,0,1,0,1
352,2,2,7,21,Decreciente,0,0,0,2,0,0
353,0,8,23,0,Decreciente,7,0,7,1,2,0
354,2,13,35,0,Decreciente,10,2,8,0,1,0
355,1,9,19,18,Decreciente,3,2,1,0,0,1
356,4,11,44,4,Decreciente,6,0,6,1,3,1
357,0,13,27,22,Decreciente,12,4,8,0,3,1
358,2,7,22,9,Estable,3,1,2,0,1,0
359,3,9,20,8,Estable,10,0,10,0,2,0
360,0,0,0,32,Creciente,1,0,1,1,1,2
361,0,4,18,9,Creciente,0,0,0,0,1,0
362,2,9,12,6,Creciente,3,1,2,0,0,0
363,2,10,31,22,Creciente,8,0,8,1,2,2
364,1,7,28,42,Estable,6,4,2,0,0,0
365,4,6,31,6,Creciente,5,0,5,1,0,0
366,0,0,14,18,Creciente,1,1,0,0,0,1
367,2,6,27,24,Decreciente,4,1,3,0,2,0
368,2,15,36,3,Creciente,10,1,9,0,2,1
369,4,11,31,15,Decreciente,10,2,8,0,0,1
370,4,10,44,29,Creciente,9,0,9,0,0,0
371,1,11,25,10,Decreciente,14,0,14,0,2,0
372,2,16,23,46,Decreciente,13,0,13,1,2,1
373,3,11,45,22,Estable,12,0,12,0,5,0
374,4,14,41,26,Decreciente,11,0,11,0,4,0
375,4,9,30,26,Creciente,9,1,8,0,0,0
376,1,11,39,23,Decreciente,9,5,4,0,2,0
377,1,1,11,6,Decreciente,0,0,0,0,1,1
378,2,7,13,10,Decreciente,0,0,0,1,1,0
379,1,10,31,0,Decreciente,10,1,9,0,2,2
380,2,9,20,11,Estable,6,0,6,0,0,2
381,0,7,30,28,Decreciente,0,0,0,0,1,0
382,1,7,34,4,Creciente,9,1,8,0,0,1
383,1,11,17,20,Estable,11,0,11,3,0,2
384,1,6,11,29,Creciente,6,0,6,1,2,2
385,3,14,20,2,Decreciente,14,0,14,2,2,0
386,4,15,38,23,Creciente,10,1,9,0,1,0
387,1,1,28,17,Estable,0,0,0,1,2,2
388,1,1,12,0,Estable,1,0,1,0,0,1
389,0,1,25,37,Decreciente,0,3,0,0,0,1
390,2,11,26,9,Estable,9,4,5,1,4,1
391,1,1,3,27,Estable,6,0,6,0,1,0
392,1,8,8,28,Creciente,8,4,4,0,3,0
393,2,14,28,23,Decreciente,10,0,10,0,2,0
394,0,0,6,42,Decreciente,0,2,0,1,1,1
395,2,8,36,16,Decreciente,5,0,5,1,1,0
396,3,3,21,0,Estable,3,0,3,0,3,1
397,2,4,20,0,Decreciente,8,1,7,0,2,1
398,1,9,37,27,Estable,8,0,8,2,1,2
399,2,9,46,23,Decreciente,11,4,7,2,3,2
400,3,13,29,10,Estable,8,4,4,1,1,1
401,1,7,30,25,Estable,6,2,4,0,0,0
402,1,8,45,12,Decreciente,8,0,8,0,1,0
403,3,10,37,32,Estable,2,0,2,0,5,1
404,2,9,9,17,Estable,7,1,6,0,0,1
405,2,11,37,0,Creciente,11,0,11,0,2,3
406,3,18,23,19,Creciente,14,1,13,0,4,2
407,2,18,54,9,Estable,15,3,12,0,1,0
408,0,8,22,21,Creciente,5,3,2,0,4,0
409,1,5,22,21,Creciente,0,0,0,0,0,1
410,3,16,47,0,Estable,12,4,8,0,5,1
411,1,7,9,6,Estable,1,0,1,1,0,0
412,4,13,40,7,Decreciente,10,2,8,1,2,1
413,2,8,30,34,Decreciente,11,0,11,0,0,1
414,1,8,25,15,Decreciente,9,3,6,0,0,2
415,2,7,35,15,Decreciente,6,1,5,1,0,0
416,2,7,29,13,Decreciente,5,0,5,2,0,2
417,1,1,17,5,Decreciente,3,0,3,1,0,0
418,5,26,61,30,Estable,24,8,16,0,4,0
419,1,6,18,22,Decreciente,8,3,5,0,3,1
420,4,6,34,16,Creciente,8,4,4,0,3,2
421,2,8,21,19,Creciente,7,1,6,2,0,0
422,0,0,2,0,Estable,5,0,5,0,2,1
423,1,10,25,18,Creciente,10,3,7,0,0,0
424,1,5,19,44,Decreciente,2,2,0,0,0,0
425,1,1,18,30,Decreciente,2,0,2,0,0,2
426,0,3,9,37,Decreciente,4,0,4,0,1,0
427,3,15,37,12,Decreciente,14,3,11,1,0,0
428,2,8,50,13,Decreciente,9,4,5,3,4,0
429,2,11,39,15,Creciente,8,1,7,0,2,0
430,0,9,19,20,Decreciente,2,0,2,0,0,1
431,2,10,26,36,Decreciente,11,6,5,0,0,0
432,2,8,25,0,Estable,4,0,4,1,0,0
433,0,5,5,37,Decreciente,5,1,4,0,0,0
434,0,2,16,19,Estable,0,0,0,0,0,2
435,0,0,0,5,Estable,0,0,0,0,2,0
436,4,15,45,2,Creciente,8,0,8,0,2,2
437,2,4,22,21,Estable,3,0,3,0,2,2
438,1,2,24,20,Decreciente,1,0,1,1,0,0
439,1,6,27,21,Decreciente,2,0,2,0,1,1
440,3,21,50,10,Estable,13,0,13,0,0,1
441,2,10,26,35,Decreciente,9,1,8,0,1,0
442,1,13,23,0,Estable,11,3,8,0,1,0
443,0,4,21,24,Creciente,4,0,4,2,0,1
444,4,10,25,6,Creciente,5,0,5,1,2,1
445,2,2,13,42,Decreciente,1,0,1,1,2,1
446,1,7,11,4,Decreciente,2,0,2,0,2,1
447,2,2,11,11,Decreciente,0,1,0,2,1,1
448,2,9,34,10,Creciente,5,0,5,0,3,0
449,0,10,12,6,Decreciente,12,3,9,1,3,3
450,2,13,30,30,Creciente,10,1,9,1,4,1
451,0,3,12,21,Estable,3,3,0,0,0,2
452,1,8,15,38,Decreciente,6,2,4,0,0,0
453,0,0,4,27,Estable,1,0,1,0,0,2
454,2,6,26,8,Creciente,6,1,5,0,2,1
455,0,7,8,23,Estable,6,2,4,0,0,2
456,1,9,25,11,Creciente,5,1,4,0,4,0
457,0,2,14,11,Decreciente,4,1,3,1,1,0
458,2,12,34,13,Estable,11,0,11,1,2,1
459,2,18,33,0,Creciente,16,0,16,0,2,0
460,0,8,15,29,Creciente,1,0,1,0,4,0
461,0,0,0,20,Creciente,1,0,1,0,1,0
462,2,2,10,25,Decreciente,0,0,0,0,3,0
463,2,7,29,20,Creciente,4,2,2,0,0,0
464,2,8,23,21,Decreciente,1,0,1,1,0,0
465,0,2,11,26,Creciente,3,1,2,2,0,1
466,2,8,31,10,Creciente,7,1,6,1,0,0
467,3,13,44,20,Decreciente,12,3,9,0,0,0
468,6,15,51,11,Decreciente,10,0,10,0,1,0
469,2,9,24,18,Creciente,4,0,4,0,0,1
470,3,12,35,26,Decreciente,10,1,9,0,0,0
471,0,0,2,27,Estable,0,0,0,0,0,2
472,3,7,23,21,Decreciente,0,0,0,1,0,1
473,0,0,14,16,Decreciente,0,0,0,1,1,0
474,2,8,11,4,Decreciente,6,1,5,0,0,1
475,3,18,77,11,Decreciente,14,0,14,1,0,2
476,2,5,24,31,Creciente,11,0,11,1,0,1
477,0,3,8,49,Decreciente,0,0,0,2,2,1
478,3,17,52,0,Estable,15,0,15,0,2,0
479,0,9,37,21,Creciente,8,2,6,1,0,0
480,2,12,43,17,Creciente,13,4,9,1,0,0
481,2,10,24,13,Creciente,11,0,11,1,0,0
482,1,1,1,24,Decreciente,0,0,0,0,0,1
483,1,4,21,12,Estable,7,1,6,0,1,1
484,0,7,15,15,Decreciente,3,0,3,2,1,0
485,4,10,27,29,Creciente,11,2,9,2,0,1
486,4,15,47,0,Estable,16,3,13,2,2,0
487,4,16,44,9,Decreciente,15,4,11,0,3,0
488,1,7,14,13,Estable,5,3,2,0,2,0
489,3,13,32,25,Estable,11,4,7,3,0,3
490,5,15,40,11,Decreciente,17,3,14,0,2,1
491,3,11,31,8,Decreciente,5,0,5,1,1,1
492,3,9,28,20,Estable,8,4,4,1,0,1
493,0,2,6,1,Decreciente,6,0,6,0,1,1
494,3,7,27,16,Estable,3,0,3,1,0,0
495,1,13,42,0,Decreciente,11,0,11,2,5,0
496,1,9,9,0,Creciente,11,1,10,0,0,1
497,1,6,15,10,Estable,7,0,7,0,2,1
498,4,15,57,28,Creciente,10,1,9,0,0,0
499,4,15,38,6,Decreciente,13,2,11,1,1,0
500,2,7,11,41,Decreciente,11,4,7,1,2,0
501,0,0,1,133,Decreciente,0,0,0,0,0,0
502,0,0,3,102,Decreciente,0,0,0,0,0,0
503,0,0,3,102,Decreciente,0,0,0,0,0,0
504,0,1,0,99,Decreciente,0,0,0,0,0,0
505,0,0,0,106,Decreciente,0,0,0,0,1,0
506,0,0,1,91,Decreciente,3,2,1,0,0,0
