cliente_id,emails_enviados,emails_abiertos,ctr_emails,sms_enviados,sms_abiertos,push_notifications_abiertas,ultima_interaccion_hace_dias,campanas_recibidas,campanas_convertidas
219,25,8,0.025,20,12,7,35,6,0
220,26,10,0.044,8,3,2,29,2,0
221,28,10,0.042,18,11,13,1,6,0
222,25,8,0.049,9,3,1,11,2,0
223,10,3,0.03,16,7,4,48,6,0
224,23,6,0.022,12,8,9,22,12,2
225,44,10,0.051,8,3,6,25,2,0
226,47,16,0.054,10,5,0,6,1,0
227,15,5,0.013,1,0,7,33,3,0
228,27,12,0.041,18,10,13,9,5,0
229,7,2,0.036,14,6,2,2,6,1
230,50,11,0.004,20,10,6,39,1,0
231,30,7,0.071,6,4,6,46,10,1
232,12,3,0.031,1,0,2,21,5,0
233,9,2,0.042,19,12,1,51,10,1
234,44,21,0.01,11,4,11,42,6,0
235,14,5,0.049,1,0,11,2,11,1
236,6,1,0.059,17,11,10,11,1,0
237,49,28,0.005,16,8,13,7,11,0
238,17,3,0.035,18,7,0,25,7,1
239,36,5,0.052,5,2,8,27,1,0
240,9,0,0.044,10,5,14,26,9,1
241,21,5,0.041,5,1,2,38,4,0
242,24,6,0.047,0,0,6,59,7,1
243,48,15,0.04,20,9,2,51,4,0
244,5,2,0.076,2,0,9,30,1,0
245,23,8,0.029,14,5,12,3,9,0
246,33,7,0.065,5,3,9,10,3,0
247,30,16,0.056,7,2,10,23,12,2
248,14,1,0.035,5,2,6,43,10,1
249,13,5,0.043,2,1,2,24,1,0
250,16,5,0.067,5,3,9,29,6,0
251,38,12,0.021,15,7,3,3,2,0
252,37,3,0.04,10,3,4,35,12,0
253,34,9,0.024,3,1,11,9,6,0
254,20,2,0.049,19,10,7,37,3,0
255,37,12,0.022,5,2,3,50,1,0
256,47,17,0.052,5,2,3,39,4,0
257,44,12,0.052,7,4,13,28,5,0
258,36,14,0.034,4,2,3,33,6,0
259,41,9,0.033,0,0,3,24,11,1
260,18,6,0.041,4,2,9,17,3,0
261,49,17,0.032,6,4,9,26,6,1
262,8,1,0.043,0,0,0,28,4,0
263,33,5,0.041,18,10,8,39,1,0
264,46,15,0.061,13,5,1,36,5,0
265,29,8,0.036,5,1,3,33,1,0
266,21,6,0.094,17,9,6,15,10,1
267,10,3,0.03,3,1,8,34,6,1
268,31,11,0.0,14,9,4,48,7,0
269,14,6,0.059,12,6,9,1,5,0
270,24,6,0.03,13,6,10,3,12,3
271,19,3,0.029,9,3,4,25,3,0
272,29,12,0.074,3,2,12,19,11,3
273,13,4,0.018,20,7,4,36,9,0
274,37,3,0.0,17,7,0,17,2,0
275,44,14,0.036,7,3,1,20,10,0
276,48,9,0.045,17,6,7,62,5,1
277,34,10,0.032,11,4,3,39,4,0
278,7,1,0.019,2,0,2,32,1,0
279,28,10,0.041,14,7,5,13,8,0
280,26,9,0.028,8,4,2,23,4,0
281,28,12,0.045,18,7,10,1,10,3
282,37,4,0.059,13,6,8,50,6,0
283,6,0,0.031,18,7,12,1,9,0
284,10,3,0.034,12,5,7,34,7,0
285,24,7,0.029,7,4,7,25,12,2
286,42,15,0.039,12,7,11,46,5,0
287,46,10,0.036,5,3,5,22,5,1
288,18,5,0.035,18,7,10,16,11,1
289,6,2,0.042,3,1,6,28,2,0
290,10,2,0.064,2,1,6,11,11,2
291,22,6,0.029,16,8,5,35,11,0
292,36,15,0.051,20,14,7,39,12,1
293,38,7,0.047,4,1,9,14,7,1
294,48,13,0.056,14,8,8,44,11,2
295,49,14,0.056,14,8,8,26,11,1
296,38,9,0.033,0,0,5,19,2,0
297,24,7,0.06,6,3,7,16,12,4
298,12,4,0.033,12,5,8,53,1,0
299,17,5,0.048,11,4,7,40,12,0
300,6,1,0.032,20,12,3,15,10,2
301,27,10,0.008,6,3,7,34,8,2
302,19,6,0.036,16,8,8,2,12,4
303,49,16,0.005,7,3,4,37,9,1
304,27,10,0.035,2,1,5,11,7,1
305,43,0,0.038,16,8,1,32,1,0
306,36,12,0.052,11,3,1,41,9,1
307,48,4,0.029,2,1,8,17,12,0
308,21,4,0.039,12,5,8,22,4,0
309,18,9,0.028,4,2,3,16,10,1
310,23,7,0.058,17,12,8,1,11,1
311,48,11,0.032,11,4,9,33,6,0
312,18,5,0.051,12,6,15,18,4,0
313,9,2,0.029,1,0,10,26,4,0
314,5,1,0.042,17,11,5,17,1,0
315,47,19,0.052,5,2,7,38,4,0
316,41,13,0.017,11,4,8,29,6,1
317,25,5,0.039,5,2,3,34,12,1
318,22,7,0.042,10,3,6,25,10,0
319,29,7,0.039,10,4,10,14,1,0
320,13,4,0.04,5,2,5,42,3,0
321,47,13,0.039,6,1,2,14,7,1
322,34,4,0.034,12,8,8,22,7,1
323,36,9,0.019,19,8,4,36,1,0
324,34,15,0.034,16,6,7,9,11,1
325,18,7,0.024,9,4,9,27,5,0
326,17,5,0.034,18,6,3,50,2,0
327,42,20,0.061,11,5,8,35,8,1
328,23,3,0.045,0,0,13,11,9,1
329,47,10,0.006,9,2,2,75,2,0
330,31,9,0.021,11,2,11,28,1,0
331,31,8,0.054,7,3,6,31,10,0
332,32,1,0.0,14,8,8,25,10,0
333,49,11,0.055,1,0,4,20,6,0
334,12,3,0.046,13,5,3,35,6,0
335,44,10,0.062,17,9,2,20,5,0
336,31,8,0.031,10,5,2,31,4,0
337,24,6,0.008,9,4,5,40,10,1
338,20,6,0.0,8,2,7,53,7,1
339,21,10,0.048,17,9,10,2,3,0
340,43,9,0.003,6,3,5,13,9,0
341,42,13,0.027,7,4,13,53,8,1
342,13,3,0.039,15,6,2,28,6,1
343,17,3,0.066,13,4,8,11,3,0
344,7,1,0.045,8,2,4,23,12,2
345,44,13,0.05,0,0,11,15,2,0
346,18,3,0.009,12,5,2,36,10,0
347,26,2,0.006,0,0,4,52,10,0
348,18,6,0.033,11,4,6,24,4,0
349,10,4,0.06,17,5,11,25,7,1
350,15,7,0.032,1,0,7,7,7,1
351,18,4,0.032,7,2,1,15,11,2
352,47,3,0.053,0,0,5,67,12,1
353,50,21,0.03,8,3,11,45,11,2
354,10,1,0.002,14,8,7,13,5,2
355,18,5,0.036,7,2,6,19,3,0
356,40,9,0.033,12,5,11,4,3,0
357,17,5,0.064,4,1,5,31,7,1
358,41,14,0.04,0,0,9,24,2,0
359,49,23,0.076,14,6,12,1,8,1
360,44,3,0.009,10,4,9,56,4,0
361,8,4,0.065,7,3,4,16,4,1
362,6,1,0.072,4,2,8,1,10,2
363,6,2,0.061,5,2,7,32,8,1
364,31,9,0.025,17,4,6,68,11,2
365,45,11,0.025,8,3,9,41,3,0
366,21,7,0.045,17,8,13,3,8,1
367,45,13,0.049,2,0,7,82,12,1
368,26,4,0.064,9,4,1,21,4,0
369,36,9,0.051,18,8,5,33,2,0
370,8,3,0.059,16,11,9,37,12,1
371,44,21,0.054,2,0,7,31,1,0
372,45,17,0.026,11,7,11,16,3,0
373,43,9,0.083,3,1,8,27,7,1
374,21,6,0.067,5,2,10,21,7,1
375,16,3,0.051,8,2,4,36,4,0
376,5,1,0.013,6,3,8,1,1,0
377,24,3,0.036,16,4,2,50,3,0
378,5,1,0.017,12,6,2,52,6,1
379,17,5,0.022,8,2,3,4,4,0
380,15,6,0.031,10,4,8,10,6,1
381,15,3,0.045,4,1,4,32,3,0
382,43,18,0.068,18,9,7,8,6,0
383,31,9,0.052,10,4,11,16,4,0
384,34,4,0.0,20,5,8,40,3,0
385,7,1,0.048,8,4,7,11,4,0
386,18,5,0.028,17,8,7,19,4,1
387,50,13,0.028,20,12,8,61,2,0
388,28,7,0.016,3,1,3,40,9,0
389,36,13,0.042,0,0,10,10,9,1
390,8,0,0.084,4,2,5,29,10,2
391,37,13,0.023,20,7,5,31,12,2
392,29,4,0.016,12,4,0,61,3,0
393,18,4,0.052,19,12,12,31,4,0
394,16,6,0.039,1,0,10,9,2,0
395,23,6,0.0,18,9,3,34,10,2
396,33,13,0.072,18,6,3,13,2,0
397,46,18,0.073,3,1,8,17,7,1
398,6,1,0.005,0,0,7,34,6,1
399,17,2,0.029,3,1,5,37,4,0
400,38,14,0.026,0,0,6,32,10,2
401,15,2,0.014,19,10,7,19,8,0
402,32,15,0.025,5,3,0,33,10,3
403,29,4,0.0,6,2,9,38,6,0
404,45,17,0.06,17,11,5,25,8,0
405,11,3,0.074,3,1,9,20,3,0
406,17,7,0.026,4,2,10,1,6,0
407,16,2,0.05,2,0,7,43,12,1
408,6,0,0.065,15,5,10,6,6,1
409,42,14,0.062,17,4,5,36,2,0
410,44,18,0.067,13,9,13,8,10,1
411,31,6,0.034,7,3,8,9,11,1
412,6,2,0.039,4,1,4,15,9,0
413,29,7,0.005,11,4,4,38,10,1
414,37,3,0.015,5,2,8,28,11,2
415,5,1,0.013,4,1,6,1,3,0
416,44,9,0.061,9,6,10,1,9,1
417,5,0,0.033,9,4,4,1,10,1
418,23,5,0.046,16,8,11,12,7,1
419,34,8,0.072,16,8,4,23,9,1
420,11,4,0.046,18,8,8,3,3,0
421,47,6,0.009,0,0,8,55,3,0
422,30,11,0.062,12,5,10,18,9,1
423,16,3,0.07,11,2,4,73,10,1
424,40,12,0.062,1,0,8,44,10,0
425,43,10,0.02,3,1,5,38,8,0
426,28,7,0.031,6,3,6,21,2,0
427,42,18,0.02,11,5,7,35,5,0
428,11,0,0.019,6,3,0,28,5,0
429,32,8,0.043,15,10,4,13,3,0
430,31,12,0.012,0,0,9,4,2,0
431,8,2,0.076,9,4,4,15,7,0
432,35,11,0.066,13,4,6,17,5,0
433,7,0,0.058,4,2,10,26,8,0
434,13,2,0.056,5,2,11,35,4,0
435,18,6,0.024,9,3,6,17,7,0
436,24,4,0.037,10,5,10,8,4,0
437,39,12,0.047,2,1,8,16,3,0
438,49,19,0.003,1,0,7,31,2,0
439,9,3,0.025,7,4,5,14,3,0
440,32,10,0.018,17,8,3,1,6,0
441,40,8,0.044,9,4,10,60,2,0
442,30,13,0.065,15,8,10,20,1,0
443,38,11,0.037,9,4,6,11,4,0
444,28,7,0.032,4,2,14,10,5,0
445,12,3,0.0,3,1,6,51,4,0
446,21,4,0.08,6,3,7,26,4,0
447,12,2,0.038,2,0,5,2,3,0
448,32,13,0.036,16,7,8,20,3,0
449,35,7,0.035,9,4,4,28,3,0
450,12,2,0.052,10,5,7,9,9,2
451,8,3,0.054,3,1,10,34,7,1
452,36,11,0.043,12,6,3,17,5,1
453,19,4,0.051,18,6,3,25,5,1
454,26,11,0.053,18,10,4,31,9,2
455,26,2,0.035,17,9,2,37,2,0
456,50,22,0.062,16,8,11,1,12,1
457,37,11,0.025,19,9,3,5,6,1
458,36,8,0.072,11,6,6,10,10,1
459,8,2,0.056,18,8,10,1,11,1
460,9,2,0.02,17,8,9,56,8,0
461,5,1,0.019,16,5,13,63,5,0
462,18,1,0.05,5,1,5,32,12,1
463,18,4,0.029,16,6,9,3,10,1
464,20,0,0.001,17,11,10,28,1,0
465,44,4,0.0,18,6,3,61,1,0
466,28,6,0.066,13,8,6,27,2,0
467,45,14,0.023,16,7,6,23,1,0
468,47,13,0.053,12,8,8,28,10,2
469,10,4,0.037,17,9,8,31,6,0
470,27,9,0.056,1,0,3,29,2,0
471,37,9,0.033,10,5,7,33,7,1
472,9,4,0.013,16,6,7,1,2,0
473,18,4,0.018,19,8,8,11,1,0
474,50,18,0.039,10,7,5,38,6,0
475,45,19,0.042,7,4,10,1,10,2
476,36,6,0.03,3,1,8,12,1,0
477,47,14,0.048,7,2,5,54,10,1
478,31,14,0.043,13,9,8,14,7,1
479,21,5,0.076,13,8,9,13,6,0
480,45,16,0.03,20,12,6,20,2,0
481,7,2,0.067,0,0,14,29,7,1
482,18,0,0.057,16,8,4,36,2,0
483,38,11,0.029,10,5,1,3,1,0
484,31,5,0.036,19,6,2,45,9,1
485,39,11,0.023,19,6,6,46,6,0
486,12,4,0.035,10,3,7,24,8,2
487,22,7,0.041,13,8,1,45,7,1
488,22,6,0.006,1,0,14,6,2,0
489,37,6,0.044,14,6,5,1,4,0
490,30,8,0.064,0,0,6,20,10,0
491,12,4,0.034,16,9,2,35,3,0
492,30,10,0.055,5,3,6,46,4,0
493,10,1,0.025,11,5,9,14,1,0
494,8,1,0.015,18,9,4,23,6,0
495,20,8,0.026,1,0,6,1,3,1
496,14,4,0.017,14,9,8,14,7,1
497,21,7,0.018,6,3,9,60,3,0
498,16,3,0.048,20,8,3,55,10,1
499,8,3,0.045,16,6,9,27,3,0
500,39,3,0.048,5,3,7,47,6,0
501,12,3,0.033,18,4,1,58,5,0
502,11,2,0.04,1,0,3,64,7,0
503,30,9,0.021,15,7,3,77,1,0
504,12,0,0.044,10,2,4,83,1,0
505,6,0,0.035,15,6,5,43,1,0
506,24,6,0.012,9,3,5,63,7,0
507,47,14,0.057,19,7,1,50,5,0
508,12,1,0.034,3,1,1,34,8,0
509,25,6,0.041,2,0,6,71,8,0
510,34,7,0.049,1,0,4,43,11,1
511,30,9,0.035,12,6,3,51,6,0
512,26,5,0.007,0,0,2,34,11,2
513,6,0,0.014,2,0,3,50,3,0
514,12,1,0.02,16,5,0,39,3,0
515,50,16,0.017,2,0,4,41,1,0
516,7,1,0.018,13,3,3,15,8,0
517,8,2,0.019,8,3,0,33,1,0
518,24,3,0.057,18,5,0,37,5,0
519,6,2,0.003,19,7,4,56,1,0
520,27,2,0.067,19,6,5,50,8,0
521,36,5,0.014,7,2,0,53,12,0
522,37,4,0.005,19,7,3,47,6,0
523,7,0,0.046,12,3,3,63,11,1
524,20,1,0.0,5,1,0,30,12,0
525,36,5,0.019,14,4,8,49,8,0
526,17,0,0.042,12,3,0,68,5,0
527,30,7,0.007,13,4,0,64,12,2
528,13,3,0.019,1,0,0,48,5,0
529,47,0,0.005,13,3,6,53,3,0
530,47,7,0.023,0,0,4,66,4,0
531,45,6,0.033,13,4,0,43,2,0
532,10,0,0.018,20,6,3,34,11,0
533,33,6,0.024,16,3,1,53,4,0
534,7,2,0.022,20,6,3,58,5,0
535,6,1,0.017,5,1,4,72,6,0
536,11,2,0.017,14,3,5,37,10,1
537,22,8,0.024,5,2,3,51,12,0
538,32,5,0.014,19,5,8,98,3,0
539,46,6,0.05,0,0,2,48,1,0
540,24,5,0.021,1,0,2,51,10,0
541,7,2,0.053,3,1,5,47,6,0
542,31,6,0.033,13,3,5,77,12,1
543,50,6,0.051,13,4,3,61,5,0
544,36,11,0.01,13,4,3,70,6,0
545,30,3,0.045,18,6,7,73,9,0
546,6,1,0.007,6,2,2,60,9,1
547,24,7,0.037,14,7,0,62,7,1
548,6,1,0.038,0,0,4,58,12,0
549,15,0,0.029,3,0,2,70,7,0
550,5,1,0.047,4,1,5,65,10,0
551,49,6,0.05,12,3,0,86,1,0
552,17,2,0.045,13,5,3,31,10,1
553,37,5,0.032,13,3,5,28,5,1
554,33,8,0.068,1,0,7,49,5,0
555,9,0,0.038,13,4,0,66,6,0
556,35,6,0.023,19,7,3,64,2,0
557,22,9,0.028,11,4,3,67,2,0
558,35,11,0.023,3,0,4,55,2,0
559,7,0,0.024,0,0,2,64,6,0
560,43,6,0.053,4,1,4,83,2,0
561,27,4,0.06,2,1,1,49,12,0
562,20,5,0.032,0,0,5,37,4,0
563,19,3,0.081,2,0,4,67,3,0
564,5,0,0.017,4,1,4,56,1,0
565,46,14,0.049,4,1,3,66,1,0
566,12,2,0.021,13,3,0,68,9,0
567,26,1,0.025,4,1,5,81,11,0
568,43,5,0.044,8,2,3,59,9,0
569,36,5,0.024,13,5,0,57,11,1
570,49,19,0.008,12,2,7,47,11,1
